created_at,entry_id,combined_field
2024-11-03 04:07:34+00:00,2.0,8.586666666666666
2024-11-03 04:09:48+00:00,2.5,8.65
2024-11-03 04:12:02+00:00,3.0,8.674
2024-11-03 04:14:17+00:00,4.0,8.852
2024-11-03 04:16:31+00:00,5.0,8.902
2024-11-03 04:18:45+00:00,6.0,8.806000000000001
2024-11-03 04:20:59+00:00,7.0,8.808
2024-11-03 04:23:13+00:00,8.0,8.790000000000001
2024-11-03 04:25:28+00:00,9.0,8.828
2024-11-03 04:27:42+00:00,10.0,8.788
2024-11-03 04:29:56+00:00,11.0,8.802
2024-11-03 04:32:10+00:00,12.0,8.802
2024-11-03 04:34:24+00:00,13.0,8.672
2024-11-03 04:36:38+00:00,14.0,8.666
2024-11-03 04:38:53+00:00,15.0,8.49
2024-11-03 04:41:06+00:00,16.0,8.482
2024-11-03 04:43:21+00:00,17.0,8.462
2024-11-03 04:45:35+00:00,18.0,8.654
2024-11-03 04:47:49+00:00,19.0,8.663999999999998
2024-11-03 04:50:04+00:00,20.0,8.674
2024-11-03 04:52:18+00:00,21.0,8.708000000000002
2024-11-03 04:54:32+00:00,22.0,8.718
2024-11-03 04:56:46+00:00,23.0,8.67
2024-11-03 04:59:00+00:00,24.0,8.69
2024-11-03 05:01:14+00:00,25.0,8.812000000000001
2024-11-03 05:03:29+00:00,26.0,8.761999999999999
2024-11-03 05:05:43+00:00,27.0,8.732
2024-11-03 05:07:57+00:00,28.0,8.790000000000001
2024-11-03 05:10:11+00:00,29.0,8.608
2024-11-03 05:12:25+00:00,30.0,8.594
2024-11-03 05:14:40+00:00,31.0,8.692
2024-11-03 05:16:54+00:00,32.0,8.712
2024-11-03 05:19:08+00:00,33.0,8.495999999999999
2024-11-03 05:21:22+00:00,34.0,8.414
2024-11-03 05:23:36+00:00,35.0,8.314
2024-11-03 05:25:50+00:00,36.0,8.154
2024-11-03 05:28:05+00:00,37.0,8.092
2024-11-03 05:30:19+00:00,37.5,8.125
2024-11-03 05:32:33+00:00,38.75,8.3625
2024-11-03 05:37:01+00:00,41.25,8.709999999999999
2024-11-03 05:39:16+00:00,42.5,8.8
2024-11-03 05:41:30+00:00,43.0,8.77
2024-11-03 05:43:44+00:00,44.0,8.628
2024-11-03 05:45:58+00:00,45.5,7.046666666666667
2024-11-03 05:48:12+00:00,46.5,7.031666666666667
2024-11-03 05:48:49+00:00,47.5,7.378333333333333
2024-11-03 05:50:26+00:00,48.0,7.58
2024-11-03 05:52:41+00:00,49.0,7.6
2024-11-03 05:53:18+00:00,49.5,7.54
2024-11-03 05:54:55+00:00,50.5,8.995
2024-11-03 05:57:09+00:00,51.5,9.073333333333332
2024-11-03 05:59:23+00:00,53.0,8.547999999999998
